Bill Short Title,Status,Sponsor,Date
Strengthening Community Safety Bill 2023,Assent,Hon M Ryan MP,22/3/2023
Summary Offences (Prevention of Knife Crime) and Other Legislation Amendment Bill 2023,Introduced,Hon M Ryan MP,29/11/2023
Summary Offences (Prevention of Knife Crime) and Other Legislation Amendment Bill 2023,PASSED with amendment,Hon M Ryan MP,14/2/2024
Summary Offences (Prevention of Knife Crime) and Other Legislation Amendment Bill 2023,Assent,Hon M Ryan MP,19/2/2024
Tobacco and Other Smoking Products Amendment Bill 2023,Introduced,Hon Y D'Ath MP,14/3/2023
Tobacco and Other Smoking Products Amendment Bill 2023,PASSED with amendment,Hon Y D'Ath MP,25/5/2023
Tobacco and Other Smoking Products Amendment Bill 2023,Assent,Hon Y D'Ath MP,2/6/2023
Tow Truck Bill 2023,Introduced,Hon M Bailey MP,13/6/2023
Tow Truck Bill 2023,PASSED,Hon M Bailey MP,26/10/2023
Tow Truck Bill 2023,Assent,Hon M Bailey MP,2/11/2023
Transport and Other Legislation Amendment Bill 2023,Introduced,Hon M Bailey MP,12/10/2023
Transport and Other Legislation Amendment Bill 2023,PASSED with amendment,Hon M Bailey MP,15/2/2024
Transport and Other Legislation Amendment Bill 2023,Assent,Hon M Bailey MP,19/2/2024
Victims of Crime Assistance and Other Legislation Amendment Bill 2023,Introduced,Hon M Ryan MP,10/10/2023
Victims of Crime Assistance and Other Legislation Amendment Bill 2023,PASSED with amendment,Hon M Ryan MP,30/11/2023
Victims of Crime Assistance and Other Legislation Amendment Bill 2023,Assent,Hon M Ryan MP,4/12/2023
Waste Reduction and Recycling and Other Legislation Amendment Bill 2023,Introduced,Hon M Scanlon MP,22/2/2023
Waste Reduction and Recycling and Other Legislation Amendment Bill 2023,PASSED with amendment,Hon M Scanlon MP,24/5/2023
Waste Reduction and Recycling and Other Legislation Amendment Bill 2023,Assent,Hon M Scanlon MP,2/6/2023
Work Health and Safety and Other Legislation Amendment Bill 2023,Introduced,Hon G Grace MP,30/11/2023
Work Health and Safety and Other Legislation Amendment Bill 2023,PASSED with amendment,Hon G Grace MP,21/3/2024
Work Health and Safety and Other Legislation Amendment Bill 2023,Assent,Hon G Grace MP,28/3/2024
Animal Care and Protection Amendment Bill 2022,Introduced,Hon M Furner MP,12/5/2022
Animal Care and Protection Amendment Bill 2022,PASSED,Hon M Furner MP,2/12/2022
Animal Care and Protection Amendment Bill 2022,Assent,Hon M Furner MP,12/12/2022
Appropriation (Parliament) Bill (No. 3) 2022,Introduced,Hon C Dick MP,12/10/2022
Appropriation (Parliament) Bill (No. 3) 2022,PASSED,Hon C Dick MP,10/11/2022
Appropriation (Parliament) Bill (No. 3) 2022,Assent,Hon C Dick MP,25/11/2022
Appropriation (Parliament) Bill 2022,Introduced,Hon C Dick MP,21/6/2022
Appropriation (Parliament) Bill 2022,PASSED,Hon C Dick MP,17/8/2022
Appropriation (Parliament) Bill 2022,Assent,Hon C Dick MP,29/8/2022
Appropriation Bill (No. 3) 2022,Introduced,Hon C Dick MP,12/10/2022
Appropriation Bill (No. 3) 2022,PASSED,Hon C Dick MP,10/11/2022
Appropriation Bill (No. 3) 2022,Assent,Hon C Dick MP,25/11/2022
Appropriation Bill 2022,Introduced,Hon C Dick MP,21/6/2022
Appropriation Bill 2022,PASSED,Hon C Dick MP,17/8/2022
Appropriation Bill 2022,Assent,Hon C Dick MP,29/8/2022
Betting Tax and Other Legislation Amendment Bill 2022,Introduced,Hon C Dick MP,12/10/2022
